日期,收盘,开盘,高,低,交易量,涨跌幅
2020年10月2日,10572.30 ,10619.60 ,10662.90 ,10387.60 ,77.94K,-0.45%
2020年10月1日,10620.50 ,10776.60 ,10913.70 ,10462.70 ,95.33K,-1.44%
2020年9月30日,10776.10 ,10843.40 ,10847.70 ,10667.60 ,55.55K,-0.60%
2020年9月29日,10840.90 ,10694.30 ,10858.40 ,10642.40 ,59.64K,1.38%
2020年9月28日,10693.20 ,10776.40 ,10946.60 ,10685.20 ,72.29K,-0.77%
2020年9月27日,10776.20 ,10727.90 ,10799.20 ,10602.70 ,40.92K,0.45%
2020年9月26日,10727.90 ,10688.90 ,10793.30 ,10650.20 ,37.85K,0.37%
2020年9月25日,10688.80 ,10739.90 ,10756.00 ,10558.90 ,71.43K,-0.47%
2020年9月24日,10739.40 ,10238.10 ,10787.80 ,10201.00 ,82.95K,4.90%
2020年9月23日,10237.30 ,10531.50 ,10535.40 ,10146.60 ,74.95K,-2.79%
2020年9月22日,10531.50 ,10419.40 ,10570.70 ,10361.70 ,63.52K,1.10%
2020年9月21日,10416.80 ,10919.90 ,10987.20 ,10328.50 ,109.85K,-4.62%
2020年9月20日,10921.50 ,11081.60 ,11081.60 ,10772.70 ,53.39K,-1.45%
2020年9月19日,11081.80 ,10933.00 ,11177.10 ,10890.70 ,51.63K,1.36%
2020年9月18日,10933.00 ,10941.30 ,11029.70 ,10818.70 ,63.48K,-0.08%
2020年9月17日,10941.30 ,10950.10 ,11039.30 ,10755.20 ,77.22K,-0.07%
2020年9月16日,10949.50 ,10785.20 ,11093.30 ,10669.20 ,94.94K,1.52%
2020年9月15日,10785.30 ,10675.20 ,10931.80 ,10627.80 ,91.70K,1.03%
2020年9月14日,10675.30 ,10332.70 ,10744.30 ,10264.50 ,96.64K,3.38%
2020年9月13日,10326.00 ,10441.70 ,10579.60 ,10219.40 ,66.12K,-1.11%
2020年9月12日,10441.90 ,10390.20 ,10476.80 ,10275.90 ,48.49K,0.50%
2020年9月11日,10390.20 ,10339.80 ,10398.80 ,10212.60 ,62.28K,0.49%
2020年9月10日,10339.70 ,10224.30 ,10480.30 ,10219.20 ,88.01K,1.13%
2020年9月9日,10224.60 ,10126.80 ,10343.30 ,9984.60 ,71.37K,0.97%
2020年9月8日,10126.60 ,10376.90 ,10434.40 ,9877.10 ,113.90K,-2.41%
2020年9月7日,10376.90 ,10296.40 ,10400.90 ,9887.00 ,12.40M,0.78%
2020年9月6日,10296.40 ,10092.20 ,10337.70 ,10004.70 ,12.12M,2.02%
2020年9月5日,10092.20 ,10472.30 ,10558.70 ,9897.80 ,14.72M,-3.63%
2020年9月4日,10472.50 ,10168.70 ,10614.20 ,9960.30 ,12.50M,2.99%
2020年9月3日,10168.80 ,11413.20 ,11442.70 ,10009.50 ,9.65M,-10.90%
2020年9月2日,11413.30 ,11914.40 ,11947.50 ,11244.90 ,20.26M,-4.21%
2020年9月1日,11914.90 ,11644.20 ,12045.90 ,11544.60 ,580.69K,2.32%
2020年8月31日,11644.20 ,11701.10 ,11760.20 ,11563.80 ,496.14K,-0.49%
2020年8月30日,11702.00 ,11468.10 ,11704.20 ,11462.60 ,409.36K,2.04%
2020年8月29日,11468.10 ,11527.80 ,11576.80 ,11433.50 ,389.85K,-0.51%
2020年8月28日,11527.40 ,11327.50 ,11539.00 ,11281.90 ,464.94K,1.77%
2020年8月27日,11327.40 ,11462.30 ,11580.30 ,11135.30 ,560.59K,-1.18%
