日期,开盘,收盘,高,低,涨跌幅
2015年4月17日,228,222.6,229.3,220.6,-0.0236
2015年4月18日,222.6,223.4,224.5,220.6,0.0034
2015年4月19日,223.4,223,226.9,222,-0.0015
2015年4月1日,244.1,246.2,247.7,239.6,0.0086
2015年4月20日,223,224.2,226.7,221.6,0.0055
2015年4月21日,224.2,233.7,235.3,223.3,0.0423
2015年4月22日,233.7,233.8,238.4,231.8,0.0002
2015年4月23日,233.8,235.4,236.1,232.6,0.0069
2015年4月24日,235.4,231.1,236.6,229.1,-0.0183
2015年4月25日,231.1,226.1,232.3,223.1,-0.0214
2015年4月26日,226.1,218.7,226.7,214.1,-0.0329
2015年4月27日,218.7,229,242.6,216.6,0.0469
2015年4月28日,229,225.8,229.9,222,-0.0138
2015年4月29日,225.8,225.4,227.2,222.3,-0.0017
2015年4月2日,246.2,252.6,254.9,244.3,0.0258
2015年4月30日,225.4,235.8,240,224.7,0.0459
2015年4月3日,252.6,254.5,256.5,251.3,0.0074
2015年4月4日,254.5,252.9,255.2,250.3,-0.0062
2015年4月5日,252.9,259.6,260.3,250.6,0.0267
2015年4月6日,259.6,255,261.5,252.3,-0.018
2015年4月7日,255,253,255.6,250.1,-0.0078
2015年4月8日,253,244.6,254.3,242.6,-0.0332
2015年4月9日,244.6,243.3,246.2,237.6,-0.0051
2015年5月10日,241.4,240,244.8,238.2,-0.006
2015年5月11日,240,241.8,243.9,238.9,0.0077
2015年5月12日,241.8,241.6,243,239.2,-0.001
2015年5月13日,241.6,236.4,243.9,234.1,-0.0215
2015年5月14日,236.4,236.9,239.2,232.4,0.0022
2015年5月15日,236.9,237.2,238.8,235.5,0.0013
2015年5月16日,237.2,236.2,237.8,234.6,-0.0041
2015年5月17日,236.2,236.3,237.8,235.4,0.0003
2015年5月18日,236.3,232.6,237.1,231.5,-0.0155
2015年5月19日,232.6,232,234.5,231.3,-0.0027
2015年5月1日,235.8,233.2,239.4,232.4,-0.0109
2015年5月20日,232,234,235.2,231.5,0.0084
2015年5月21日,234,235.4,236.6,233.6,0.0061
2015年5月22日,235.4,240.4,242,234.6,0.0212
2015年5月23日,240.4,238.9,241.7,238.1,-0.0059
2015年5月24日,238.9,241,242.4,237.5,0.0085
2015年5月25日,241,237.4,241.8,235.8,-0.0148
2015年5月26日,237.4,237.8,239,235.6,0.0018
